# LALSimulation RG SLy4 EoS from COMPOSE
        n(fm-3)             rho(MeVfm-3)              P(MeVfm-3)
1.006837165955188992e-11 9.367546255713313354e-09 1.171891964899338665e-14
1.006995793749528981e-11 9.369022120385687342e-09 1.172463595397584110e-14
1.007158077352081954e-11 9.370531998505790578e-09 1.173035504728218019e-14
1.007324101016265111e-11 9.372076673962987177e-09 1.173607693027242695e-14
1.007493950937237841e-11 9.373656948712517294e-09 1.174180160430734750e-14
1.007667715296652191e-11 9.375273643191845254e-09 1.174752907074836274e-14
1.007845484308434731e-11 9.376927596746611241e-09 1.175325933095749464e-14
1.008027350265623550e-11 9.378619668066390047e-09 1.175899238629765505e-14
1.008213407588283507e-11 9.380350735630516606e-09 1.176472823813218336e-14
1.008403752872527665e-11 9.382121698164148717e-09 1.177046688782516522e-14
1.008598484940666409e-11 9.383933475104884589e-09 1.177620833674127005e-14
1.008797704892514454e-11 9.385787007080084107e-09 1.178195258624608233e-14
1.009001516157878362e-11 9.387683256395246190e-09 1.178769963770559992e-14
1.009210024550255916e-11 9.389623207533594447e-09 1.179344949248657641e-14
1.009423338321769630e-11 9.391607867667197045e-09 1.179920215195633494e-14
1.009641568219369962e-11 9.393638267179872237e-09 1.180495761748314211e-14
1.009864827542332604e-11 9.395715460202129376e-09 1.181071589043564795e-14
1.010093232201079261e-11 9.397840525158448150e-09 1.181647697218328026e-14
1.010326900777355527e-11 9.400014565327167362e-09 1.182224086409612321e-14
1.010565954585796550e-11 9.402238709413284341e-09 1.182800756754484786e-14
1.010810517736909402e-11 9.404514112134439618e-09 1.183377708390103877e-14
1.011060717201508024e-11 9.406841954820424340e-09 1.183954941453671597e-14
1.011316682876633548e-11 9.409223446026490033e-09 1.184532456082463312e-14
1.011578547652993423e-11 9.411659822160806453e-09 1.185110252413813236e-14
1.011846447483954740e-11 9.414152348126362013e-09 1.185688330585149616e-14
1.012120521456127624e-11 9.416702317977674051e-09 1.186266690733939828e-14
1.012400911861574864e-11 9.419311055592634853e-09 1.186845332997729185e-14
1.012687764271688031e-11 9.421979915359819328e-09 1.187424257514128004e-14
1.012981227612761573e-11 9.424710282881667942e-09 1.188003464420806712e-14
1.013281454243314332e-11 9.427503575693827793e-09 1.188582953855527717e-14
1.013588600033188043e-11 9.430361244001136559e-09 1.189162725956094923e-14
1.013902824444471768e-11 9.433284771430495824e-09 1.189742780860389225e-14
1.014224290614290401e-11 9.436275675801153246e-09 1.190323118706348474e-14
1.014553165439501015e-11 9.439335509912704582e-09 1.190903739632003923e-14
1.014889619663341644e-11 9.442465862351277155e-09 1.191484643775430211e-14
1.015233827964075965e-11 9.445668358314270276e-09 1.192065831274775501e-14
1.015585969045683154e-11 9.448944660454124143e-09 1.192647302268256111e-14
1.015946225730635397e-11 9.452296469741520858e-09 1.193229056894148945e-14
1.016314785054813796e-11 9.455725526348482449e-09 1.193811095290820521e-14
1.016691838364614042e-11 9.459233610551832422e-09 1.194393417596682954e-14
1.017077581416287579e-11 9.462822543657457604e-09 1.194976023950221250e-14
1.017472214477573174e-11 9.466494188945891385e-09 1.195558914489981943e-14
1.017875942431671591e-11 9.470250452639671665e-09 1.196142089354603553e-14
1.018288974883614062e-11 9.474093284893016139e-09 1.196725548682766090e-14
1.018711526269084851e-11 9.478024680804273163e-09 1.197309292613227822e-14
1.019143815965750711e-11 9.482046681451733867e-09 1.197893321284802393e-14
1.019586068407155419e-11 9.486161374953315033e-09 1.198477634836401424e-14
1.020038513199240604e-11 9.490370897550645469e-09 1.199062233406974875e-14
1.020501385239550067e-11 9.494677434718139843e-09 1.199647117135551592e-14
1.020974924839183665e-11 9.499083222297660530e-09 1.200232286161226369e-14
1.021459377847559580e-11 9.503590547659291893e-09 1.200817740623154744e-14
1.021954995780054419e-11 9.508201750888892054e-09 1.201403480660584551e-14
1.022462035948580788e-11 9.512919226002991261e-09 1.201989506412806379e-14
1.022980761595180192e-11 9.517745422191723400e-09 1.202575818019188600e-14
1.023511442028688454e-11 9.522682845090368032e-09 1.203162415619156384e-14
1.024054352764555576e-11 9.527734058080211023e-09 1.203749299352231141e-14
1.024609775667886755e-11 9.532901683619383850e-09 1.204336469357974673e-14
1.025177999099776771e-11 9.538188404604389653e-09 1.204923925776026875e-14
1.025759318067022731e-11 9.543596965762981089e-09 1.205511668746094384e-14
1.026354034375281567e-11 9.549130175079144373e-09 1.206099698407945208e-14
1.026962456785760826e-11 9.554790905250952169e-09 1.206688014901440126e-14
1.027584901175518355e-11 9.560582095181973541e-09 1.207276618366482042e-14
1.028221690701459581e-11 9.566506751507086350e-09 1.207865508943051009e-14
1.028873155968109612e-11 9.572567950153441516e-09 1.208454686771187668e-14
1.029539635199255960e-11 9.578768837937412944e-09 1.209044151991025900e-14
1.030221474413545414e-11 9.585112634198318939e-09 1.209633904742741239e-14
1.030919027604127638e-11 9.591602632469846514e-09 1.210223945166587791e-14
1.031632656922438865e-11 9.598242202189951174e-09 1.210814273402888764e-14
1.032362732866222319e-11 9.605034790450188403e-09 1.211404889592024164e-14
1.033109634471880337e-11 9.611983923785350351e-09 1.211995793874470714e-14
1.033873749511260315e-11 9.619093210004350713e-09 1.212586986390748048e-14
1.034655474692975930e-11 9.626366340063307392e-09 1.213178467281450428e-14
1.035455215868367843e-11 9.633807089981790768e-09 1.213770236687235225e-14
1.036273388242210829e-11 9.641419322803236779e-09 1.214362294748852105e-14
1.037110416588277540e-11 9.649206990600530694e-09 1.214954641607093965e-14
1.037966735469870983e-11 9.657174136527823657e-09 1.215547277402832431e-14
1.038842789465435780e-11 9.665324896919637495e-09 1.216140202276996871e-14
1.039739033399374353e-11 9.673663503438338084e-09 1.216733416370612108e-14
1.040655932578178711e-11 9.682194285271103898e-09 1.217326919824747928e-14
1.041593963032005970e-11 9.690921671377532893e-09 1.217920712780548271e-14
1.042553611761820205e-11 9.699850192789024288e-09 1.218514795379228549e-14
1.043535376992230710e-11 9.708984484961200815e-09 1.219109167762063020e-14
1.044539768430158315e-11 9.718329290180494763e-09 1.219703830070420765e-14
1.045567307529460330e-11 9.727889460026226249e-09 1.220298782445714726e-14
1.046618527761656570e-11 9.737669957889416166e-09 1.220894025029434678e-14
1.047693974892894150e-11 9.747675861549649003e-09 1.221489557963131141e-14
1.048794207267294810e-11 9.757912365811323925e-09 1.222085381388449928e-14
1.049919796096832441e-11 9.768384785200668893e-09 1.222681495447078977e-14
1.051071325757891393e-11 9.779098556724885966e-09 1.223277900280785744e-14
1.052249394094660168e-11 9.790059242694928304e-09 1.223874596031403790e-14
1.053454612729515434e-11 9.801272533613281984e-09 1.224471582840831364e-14
1.054687607380561637e-11 9.812744251128350746e-09 1.225068860851058854e-14
1.055949018186485993e-11 9.824480351056881307e-09 1.225666430204120192e-14
1.057239500038903824e-11 9.836486926476083607e-09 1.226264291042128355e-14
1.058559722922359518e-11 9.848770210886996114e-09 1.226862443507256589e-14
1.059910372262165508e-11 9.861336581450747257e-09 1.227460887741773274e-14
1.061292149280257955e-11 9.874192562299425234e-09 1.228059623887990340e-14
